,date,time,code_call,code_put,price_call,price_put,delta_call,delta_put,d2e,k_x,timeleft,gamma,gamma_percentage,vega,theta,rho,iv,k0,r,code_x,cp,k_y,contract_unit,expire_date,atm,expiration_state,code_y,exchange,close
40,2020-01-02,0 days 14:55:00,10002053.SH,10002062.SH,0.1005,0.0112,0.8069,-0.1931,14.0,3.0,5.0,2.5786,0.0795,0.002,-0.0014,0.0014,0.1442,-0.027,0.0405,10002053.SH,C,3.0,10000.0,2020-01-22,0.0,1.0,510050.SH,,3.082
41,2020-01-02,0 days 14:55:00,10002054.SH,10002063.SH,0.0377,0.0473,0.4704,-0.5296,14.0,3.1,5.0,3.7489,0.1155,0.0029,-0.0018,0.0008,0.1439,0.0058,0.0467,10002054.SH,C,3.1,10000.0,2020-01-22,1.0,1.0,510050.SH,,3.082
42,2020-01-02,0 days 14:55:00,10002055.SH,10002064.SH,0.0105,0.122,0.1739,-0.8261,14.0,3.2,5.0,2.2463,0.0692,0.0019,-0.0011,0.0003,0.155,0.0376,0.0361,10002055.SH,C,3.2,10000.0,2020-01-22,0.0,1.0,510050.SH,,3.082
43,2020-01-02,0 days 14:55:00,10002065.SH,10002074.SH,0.4165,0.0039,0.9371,-0.0629,53.0,2.7,5.0,0.4187,0.0129,0.0018,-0.0008,0.0053,0.2059,-0.1323,0.0449,10002065.SH,C,2.7,10000.0,2020-03-25,0.0,3.0,510050.SH,,3.082
44,2020-01-02,0 days 14:55:00,10002066.SH,10002075.SH,0.3672,0.0061,0.923,-0.077,53.0,2.75,5.0,0.525,0.0162,0.0021,-0.0008,0.0054,0.1918,-0.114,0.0427,10002066.SH,C,2.75,10000.0,2020-03-25,0.0,3.0,510050.SH,,3.082
45,2020-01-02,0 days 14:55:00,10002067.SH,10002076.SH,0.3223,0.0091,0.9011,-0.0989,53.0,2.8,5.0,0.6644,0.0205,0.0025,-0.0009,0.0053,0.1828,-0.096,0.0458,10002067.SH,C,2.8,10000.0,2020-03-25,0.0,3.0,510050.SH,,3.082
46,2020-01-02,0 days 14:55:00,10002068.SH,10002077.SH,0.2758,0.0137,0.8706,-0.1294,53.0,2.85,5.0,0.8483,0.0261,0.003,-0.0009,0.0052,0.1734,-0.0783,0.0442,10002068.SH,C,2.85,10000.0,2020-03-25,0.0,3.0,510050.SH,,3.082
47,2020-01-02,0 days 14:55:00,10002069.SH,10002078.SH,0.235,0.0208,0.8266,-0.1734,53.0,2.9,5.0,1.0541,0.0325,0.0037,-0.001,0.005,0.1696,-0.0609,0.0473,10002069.SH,C,2.9,10000.0,2020-03-25,0.0,3.0,510050.SH,,3.082
48,2020-01-02,0 days 14:55:00,10002070.SH,10002079.SH,0.1959,0.0311,0.7696,-0.2304,53.0,2.95,5.0,1.2713,0.0392,0.0044,-0.0011,0.0047,0.1668,-0.0438,0.0482,10002070.SH,C,2.95,10000.0,2020-03-25,0.0,3.0,510050.SH,,3.082
49,2020-01-02,0 days 14:55:00,10002071.SH,10002080.SH,0.1602,0.0451,0.7007,-0.2993,53.0,3.0,5.0,1.4667,0.0452,0.005,-0.0012,0.0043,0.1652,-0.027,0.0486,10002071.SH,C,3.0,10000.0,2020-03-25,0.0,3.0,510050.SH,,3.082
